,,,Salary,Salary,Salary,Salary,Salary,Salary,,
172,Darius Garland\garlada01,CLE,$6720720,$7040880,$8920795,,,,1st Round Pick,$13761600
173,D.J. Augustin\augusdj01,MIL,$6666667,$7000000,$7333333,,,,MLE,$14000000
174,Trae Young\youngtr01,ATL,$6571800,$8326471,,,,,1st Round Pick,$14898271
175,Jabari Parker\parkeja01,SAC,$6500000,,,,,,Cap Space,$6500000
176,Juan Hernangómez\hernaju01,MIN,$6493000,$7012440,$7531880,,,,Bird,$13505440
177,Chris Boucher\bouchch01,TOR,$6490385,$7009615,,,,,Early Bird,$13500000
178,Joakim Noah\noahjo01,NYK,$6431666,$6431666,,,,,,$12863332
179,Isaac Okoro\okorois01,CLE,$6400920,$6720720,$7040880,$8920795,,,1st Round Pick,$13121640
180,Frank Ntilikina\ntilila01,NYK,$6176578,,,,,,1st Round Pick,$6176578
181,DeMarre Carroll\carrode01,SAS,$6167887,$1252127,,,,,,$7420014
182,Ish Smith\smithis01,WAS,$6146341,,,,,,MLE,$6146341
183,Jarrett Culver\culveja01,MIN,$6104280,$6395160,$8109063,,,,1st Round Pick,$12499440
184,Alec Burks\burksal01,NYK,$6000000,,,,,,Cap Space,$6000000
185,Mo Bamba\bambamo01,ORL,$5969040,$7568742,,,,,1st Round Pick,$13537782
186,Onyeka Okongwu\okongon01,ATL,$5813640,$6104280,$6395160,$8109063,,,1st Round Pick,$11917920
187,Justin Holiday\holidju01,IND,$5720400,$6006420,$6292440,,,,Non Bird,$18019260
188,Dennis Smith Jr.\smithde03,NYK,$5686677,,,,,,1st Round Pick,$5686677
189,Avery Bradley\bradlav01,MIA,$5635000,$5916750,,,,,MLE,$5635000
190,Timofey Mozgov\mozgoti01,ORL,$5573333,$5573334,,,,,,$11146667
191,Coby White\whiteco01,CHI,$5572680,$5837760,$7413955,,,,1st Round Pick,$5572680
192,Trey Lyles\lylestr01,SAS,$5500000,,,,,,,
193,Wendell Carter Jr.\cartewe01,CHI,$5448840,$6920027,,,,,1st Round Pick,$5448840
194,Zach Collins\colliza01,POR,$5406255,,,,,,1st Round Pick,$5406255
195,Malik Monk\monkma01,CHO,$5345687,,,,,,1st Round Pick,$5345687
196,Killian Hayes\hayeski01,DET,$5307120,$5572680,$5837760,$7413955,,,1st Round Pick,$10879800
197,Luke Kennard\kennalu01,LAC,$5273826,$12727273,$13745455,$14763636,$14763636,,1st Round Pick,$46510190
198,Ryan Anderson\anderry01,MIA,$5214583,$5214584,,,,,,$10429167
199,Donovan Mitchell\mitchdo01,UTA,$5195501,$28103550,$30351834,$32600118,$34848402,$37096686,1st Round Pick,$131099405
200,Bam Adebayo\adebaba01,MIA,$5115492,$28103550,$30351834,$32600118,$34848402,$37096686,1st Round Pick,$168116082
201,Jaxson Hayes\hayesja02,NOP,$5105160,$5348280,$6803012,,,,1st Round Pick,$5105160
202,Justin Jackson\jacksju01,OKC,$5029650,,,,,,1st Round Pick,$5029650
203,Richaun Holmes\holmeri01,SAC,$5005350,,,,,,Room Exception,$5005350
204,Enes Kanter\kanteen01,POR,$5005350,,,,,,Room Exception,$5005350
205,Mike Scott\scottmi01,PHI,$5005350,,,,,,Room Exception,$5005350
206,Ed Davis\davised01,MIN,$5005350,,,,,,Room Exception,$5005350
207,Rodney McGruder\mcgruro01,DET,$5000000,$5370370,,,,,Cap Space,$10370370
208,Nerlens Noel\noelne01,NYK,$5000000,,,,,,Cap Space,$5000000
209,Daniel Theis\theisda01,BOS,$5000000,,,,,,,
210,Collin Sexton\sextoco01,CLE,$4991880,$6349671,,,,,1st Round Pick,$11341551
211,Luol Deng\denglu01,LAL,$4990000,$4990000,,,,,,$9980000
212,Pat Connaughton\connapa01,MIL,$4938272,$5333333,$5728395,,,,Early Bird,$10271605
213,Obi Toppin\toppiob01,NYK,$4862040,$5105160,$5348280,$6803012,,,1st Round Pick,$9967200
214,Kevon Looney\looneke01,GSW,$4821429,$5178572,,,,,Bird Rights,$4821429
215,Josh Jackson\jacksjo02,DET,$4767000,$5005350,,,,,Room Exception,$9772350
216,Garrett Temple\templga01,CHI,$4767000,,,,,,MLE,$4767000
217,Kris Dunn\dunnkr01,ATL,$4767000,$5005350,,,,,Room Exception,$4767000
218,Elfrid Payton\paytoel01,NYK,$5760000,,,,,,Cap Space,$5760000
219,Rui Hachimura\hachiru01,WAS,$4692840,$4916160,$6263188,,,,1st Round Pick,$9609000
220,Denzel Valentine\valende01,CHI,$4642800,,,,,,,$4642800
221,Kevin Knox\knoxke01,NYK,$4588680,$5845978,,,,,1st Round Pick,$10434658
222,D.J. Wilson\wilsodj01,MIL,$4548280,,,,,,1st Round Pick,$4548280
